==PROF== Connected to process 8756 (C:\Users\Stanislav Ilchev\Desktop\cover\cover_big_cuda.exe)
==PROF== Disconnected from process 8756
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","DRAM Frequency","hz","6,940,027,894.00",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","SM Frequency","hz","892,390,167.36",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","6,827",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Memory Throughput","%","1.10",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","DRAM Throughput","%","0.64",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Duration","ns","7,648",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","7.37",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.10",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","SM Active Cycles","cycle","162.80",
"0","8756","cover_big_cuda.exe","127.0.0.1","makeMoves(unsigned long long *, unsigned long long *, int *, curandStateXORWOW *, int)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","0.06",
